FirstName,MiddleName,LastName,CustomerID,Address,PostalCode,Email,Phone,DOB,SignupDate,Gender,AnnualIncome,CustomerSegment,LastPurchaseAmount,LifetimeValue,EmailOptIn
Liu,,Wang,101036,"222, Station Rd, Jaipur, Rajasthan",292515,liu.wang@yahoo.com,50883 60215,1976-12-25,2010-10-06,F,420394.97,Silver,29857.15,181302.5,maybe
Naveen,T,Thomas,104196,"22, 1st Main, Mumbai, Maharashtra",721743,naveen.thomas@mail.biz,95866 86371,1959-09-14,1982-11-18,F,327499.93,Bronze,22800.51,206128.54,Yes
Sneha,V,Brown,103014,"115, 1st Main, Surat, Gujarat",118651,sneha.brown@example.com,3764491586,1982-03-17,2025-05-10,Male,18218.77,Occasional,35813.31,304000.66,y
Rohit,V,Johnson,104135,"29, Church St, Jaipur, Rajasthan",320554,rohit.johnson@hotmail.com,7936821145,1997-06-02,2020-09-16,F,1699263.32,Occasional,48270.49,333776.74,y
Karthik,K,Wilson,100374,"216, Church St, Pune, Maharashtra",291503,karthik.wilson@corporate.co,6321466359,2001-09-07,2017-11-29,F,1684771.39,Silver,20259.94,311902.45,1
Amit,R,Das,102200,"189, 1st Main, Chennai, Tamil Nadu",957907,amit.das@yahoo.com,,1969-06-22,1996-01-29,M,515747.72,New,30583.71,173732.89,Y
Michael,L,Wang,101554,"70, MG Road, Kolkata, West Bengal",187278,michael.wang@corporate.co,6740459809,1987-11-29,2005-06-09,Female,656689.21,Silver,17134.53,329744.4,n
Fatima,L,Das,101920,"93, Industrial Area, Jaipur, Rajasthan",653471,fatima.das@corporate.co,2613523936,1952-12-30,2024-05-21,F,1876787.48,Gold,11737.02,146344.84,Y
Aarav,,Patel,100121,"120, Temple Rd, Jaipur, Rajasthan",460307,aarav.patel@mail.biz,50798 14840,1976-03-31,2023-05-05,F,986201.89,Occasional,23821.76,410716.73,1
Oliver,S,Wang,104869," 87, Lake View, Jaipur, Rajasthan   ",331456,oliver.wang@yahoo.com,,1951-05-14,1969-11-06,Female,190991.61,Occasional,36801.03,80420.26,
Priya,,Nair,101242,"247, 1st Main, Ahmedabad, Gujarat",664449,priya.nair@yahoo.com,3209744629,2004-02-14,2020-09-07,Female,470683.77,Loyal,5094.79,22828.86,N
Fatima,Na,Thomas,100271," 226, Lake View, Kolkata, West Bengal   ",200900,fatima.thomas@mail.biz,6526661416,1986-11-17,2012-04-16,M,275548.08,Gold,44777.78,426508.14,
Meera,,Nair,100218,"56, Temple Rd, Ahmedabad, Gujarat",904126,meera.nair@example.com,7447453318,1989-03-18,2023-10-15,M,674769.15,Platinum,4961.24,59799.84,Y
Emma,Kr,Thomas,102177,"109, Cross St, Mumbai, Maharashtra",850452,emma.thomas@corporate.co,4580443461,1948-02-05,1997-12-08,M,1288893.19,New,25975.38,183471.23,TRUE
Amit,,Thomas,104631,"208, Lake View, Pune, Maharashtra",732664,amit.thomas@gmail.com,0945168402,1964-12-08,2002-07-11,M,1147263.72,Loyal,23588.26,357595.86,n
Emma,,Kumar,102313,"216, Lake View, Chennai, Tamil Nadu",977065,emma.kumar@yahoo.com,+91-2910901347,1894-03-09,1992-10-05,F,182103568.31,Bronze,137.23,1655.88,N
Amit,K,Iyer,102372,"206, 1st Main, Chandigarh, Punjab",580671,,7370662688,1994-07-13,2021-08-17,O,1522089.91,New,35103.23,,y
Kumar,,Thomas,103583,"29, Business Park, Surat, Gujarat",927735,kumar.thomas@corporate.co,7945580276,1998-03-05,2022-07-28,Male,553064.32,Occasional,15181.22,251650.64,0
Lakshmi,R,Singh,103723,"97, Station Rd, Surat, Gujarat",507366,lakshmi.singh@gmail.com,6052649699,1987-11-12,2024-03-27,M,546535.72,Gold,0.0,218.25,N/A
Sowmya,L,Dasgupta,104114,"47, Cross St, Bengaluru, Karnataka",620802,sowmya.dasgupta@hotmail.com,+91-3940116246,1954-06-21,2001-03-29,male,1534869.64,Loyal,22149.16,294942.74,y
Chen,,Das,101298,"166, Sector 18, New Delhi, Delhi",461651,Chen35@corporate.co,56219 09090,1970-11-16,2001-12-14,,503234.88,Platinum,17889.34,205216.1,TRUE
Amit,K,Brown-,103345,"24, MG Road, Hyderabad, Telangana",758748,amit.brown-@yahoo.com,3644493181,1964-07-07,1981-04-07,F,1007828.3,Bronze,11121.29,219371.45,FALSE
Naveen,,Thomas,101863,"7, Business Park, Ahmedabad, Gujarat",837673,naveen.thomas@hotmail.com,5080071144,2007-06-12,2023-09-01,Female,1841462.82,Platinum,13033.74,61745.24,N/A
Oliver,M,Patel,103802,"232, Industrial Area, Hyderabad, Telangana",170533,oliver.patel@hotmail.com,6808928955,1954-01-27,1999-08-17,F,346978.59,Silver,30623.6,36221.71,
Fatima,,Reddy,103380,"66, MG Road, Surat, Gujarat",444163,fatima.reddy@example.com,62246 83671,1992-03-21,2016-03-22,M,1069488.51,Platinum,24676.28,272799.46,maybe
